2016	13350	6828	0	67.3	1
2015	46465	19963	325	29.4	4
2018	41500	17142	145	29.4	4
2013	13500	34447	20	67.3	2
2015	28990	21100	325	29.7	4
2013	10379	22089	125	53.3	1.4
2016	26950	8915	160	52.3	3
2017	12495	7800	150	57.6	1.4
2019	85900	3401	150	30.7	4
2016	14990	66832	30	64.2	3
2015	25990	13815	260	37.2	3
2016	21990	16117	145	55.4	3
2017	23990	12579	145	55.4	3
2015	12990	14333	0	80.7	1.6
2004	6990	88024	325	22.4	4.2
2009	2490	152034	150	55.4	1.9
2009	5995	82000	235	39.2	2
2010	5495	106000	30	64.2	2
2009	4995	99200	155	52.3	2
2009	3500	135800	150	55.4	2
2016	14490	28000	20	72.4	2
2008	6995	75700	235	42.2	2.7
2017	34990	29583	150	30.1	4
2014	59990	31930	580	21.9	5.2
2019	24990	2650	150	67.3	2
2007	4995	102000	145	56.5	2
2017	15450	10000	20	72.4	1.6
2017	44444	20761	145	39.2	4
2016	45990	25514	300	39.2	4
2014	58450	35000	570	21.9	5.2
2019	44450	5225	135	117.7	0
2016	14444	28325	0	72.4	2
2003	2495	117000	290	39.8	2.5
2016	11477	28000	0	83.1	1.6
2005	1975	104000	240	38.1	2
2017	13990	11800	145	70.6	2
2016	12800	8764	30	57.6	1.4
2013	10500	24913	20	60.1	1.4
2015	18300	29084	235	42.8	3
2011	8950	116000	200	47.1	3
2014	6490	80000	20	68.9	2
2016	11490	54000	0	72.4	2
2016	12990	45000	0	74.3	2
2015	7490	37000	0	80.7	1.6
2015	8490	40000	20	68.9	2
2014	5990	78000	0	74.3	1.6
2012	5990	80000	0	74.3	1.6
2015	16990	31000	125	58.9	3
2016	8490	29000	0	76.3	1.6
2016	8990	24000	30	57.6	1.4
2014	7490	44000	0	74.3	1.6
2016	18999	35784	30	61.4	3
2015	8990	49000	0	83.1	1.6
2014	9284	52561	20	68.9	2
2014	9990	49000	20	68.9	2
2015	7990	31000	0	80.7	1.6
2008	4350	91748	160	51.4	2
