Algorithm,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
AA,0.38370580000000004,0.39242180000000004,0.37269300000000005,0.349452,0.322168,0.24505210000000002,0.31348380000000003,0.2308011,0.2193577,0.21449970000000002,0.1778126,0.1590626,0.1344077,0.112683,0.1131809,0.1306322,0.09799240000000001,0.082042,0.07173080000000001,0.1290381
SinglePass,0.3799552,0.3413893,0.3201317,0.3622271,0.3389907,0.411827,0.4088011,0.3735791,0.3498739,0.3511582,0.3670909,0.29654389999999997,0.29220830000000003,0.3024124,0.2923794,0.3001992,0.32991000000000004,0.2313095,0.21227849999999998,0.1603939
