Algorithm,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
AA,0.016900400000000003,0.0271349,0.037458000000000005,0.047740700000000004,0.0580798,0.0683553,0.07874790000000001,0.0890576,0.0890576,0.0890576,0.0890576,0.0890576,0.0890576,0.0890576,0.0890576,0.0,0.0,0.0,0.0
EA,15.875615400000001,31.8220562,47.555908599999995,63.311949000000006,71.3858942,71.3858942,71.3858942,71.3858942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UH-Random,54.3660042,74.7173987,86.55321819999999,92.9890487,95.8123966,97.51433469999999,98.9157246,100.0937821,101.2058866,102.2820672,102.2820672,102.2820672,102.2820672,102.2820672,102.2820672,102.2820672,102.2820672,102.2820672,102.2820672
UH-Simplex,52.5216683,96.0093258,124.1198914,138.6814549,153.0018628,167.4110352,181.5065014,189.43562930000002,196.10077800000002,202.6160363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SinglePass,0.0007839,0.0987366,0.1283492,0.2460465,0.2756424,0.39417800000000003,0.5204085,0.6347573,0.7646101,0.9554582999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
