Algorithm,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
AA,0.015517300000000001,0.026420900000000004,0.0373965,0.0483498,0.059334200000000004,0.0703746,0.0815048,0.092628,0.10374520000000001,0.1150242,0.1150242,0.1150242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EA,0.1399994,0.2531779,0.36964319999999995,0.44451039999999997,0.44451039999999997,0.44451039999999997,0.44451039999999997,0.44451039999999997,0.44451039999999997,0.44451039999999997,0.44451039999999997,0.44451039999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UH-Random,5.8041312,8.5775147,9.8992029,10.701322600000001,11.2609623,11.7404054,12.1727738,12.5741367,12.969586699999999,13.361156,13.361156,13.361156,13.361156,13.361156,13.361156,13.361156,13.361156,13.361156,13.361156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UH-Simplex,8.3823986,13.842662899999999,16.1671525,17.7100647,18.9628946,19.952282,20.7980293,21.5727436,22.262393,22.9325352,23.6158534,24.3009828,24.3009828,24.3009828,24.3009828,24.3009828,24.3009828,24.3009828,24.3009828,24.3009828,24.3009828,24.3009828,24.3009828,24.3009828,24.3009828,24.3009828,24.3009828,0.0,0.0,0.0
SinglePass,0.00042940000000000003,0.0882636,0.12808950000000002,0.22028979999999998,0.2915448,0.39316490000000004,0.4837036,0.8268974,0.9022548,0.9287089,1.0846363,1.1581541,1.2069624,1.233235,1.449623,1.5446332999999999,1.544817,1.6944547,1.7078441000000002,1.7079452,1.708015,1.7215516000000002,1.7216017000000001,1.7216715,1.7351614999999998,1.7352167,1.735287,1.7488648000000002,1.748916,1.7489877
