Algorithm,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
AA,0.06337050000000001,0.1086123,0.15361989999999998,0.1998009,0.2466053,0.2942046,0.3422,0.39095779999999997,0.44027659999999996,0.4893164,0.539202,0.5899819,0.6412448,0.6933676999999999,0.7464114000000001,0.8002748000000001,0.8553105000000001,0.9108802,0.9673361,1.0245199
SinglePass,0.001129,0.11263890000000001,0.2798062,0.2799867,0.44775,0.4479354,0.5496095000000001,0.6171571,0.6685578,0.7366685000000001,0.7878025,0.8394780000000001,0.9077522,0.9593821,1.0116174,1.0810891,1.1326942,1.1852658,1.2546533,1.3065148
