Algorithm,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
AA,0.2968123,0.293039,0.2713046,0.25845440000000003,0.2337062,0.2175878,0.1857046,0.1808959,0.1499771,0.15300609999999998,0.12056839999999999,0.1072305,0.098545,0.0964452,0.0718578,0.081676,0.0750869,0.074818,0.0575041,0.0555006
SinglePass,0.3321108,0.2856568,0.2938829,0.2638671,0.2583536,0.2264002,0.2130332,0.1890287,0.1701439,0.18194490000000002,0.17678270000000001,0.1439979,0.11725160000000001,0.1282971,0.10745230000000001,0.11260129999999999,0.1095516,0.08457,0.07559049999999999,0.0994601
