Algorithm,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
AA,0.5393843,0.4181418,0.3566975,0.267889,0.1892644,0.1484444,0.1458966,0.08012079999999999,0.0616761,0.0648594,0.0547021,0.044628,0.05,0.05,0.05,0.05,0.05,0.05,0.05
EA,0.6363029,0.5458040000000001,0.31695409999999996,0.2227221,0.1221489,0.0684621,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
UH-Random,0.5171782,0.544404,0.370159,0.24263849999999998,0.189919,0.1592993,0.1228833,0.10611630000000001,0.11597310000000001,0.0915967,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
UH-Simplex,0.8276049999999999,0.5924306,0.46403490000000003,0.49886790000000003,0.393866,0.2424735,0.24671159999999998,0.19228910000000002,0.11172,0.0882126,0.0239103,0.0037308999999999997,0.002752,0.0020681000000000002,0.0016453,0.0007884000000000001,0.0007573,0.0007573,7.89e-05
SinglePass,0.45193089999999997,0.4255306,0.3104746,0.2063692,0.1599659,0.1307603,0.111378,0.0850247,0.0829893,0.0775732,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
