Algorithm,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
AA,0.5957041000000001,0.43020759999999997,0.3672746,0.13883859999999998,0.0791215,0.048479,0.049343,0.031523300000000004,0.0200717,0.0137766,0.008949200000000001,0.0061527,0.0072904,0.004301,0.0036477999999999997,0.0032050000000000004,0.0024069,0.0022386,0.05,0.05,0.05,0.05,0.05
EA,0.6363029,0.5458040000000001,0.31695409999999996,0.2227221,0.1221489,0.0684621,0.0280277,0.005867300000000001,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
UH-Random,0.6033515,0.3582235,0.3309302,0.22835529999999998,0.11247340000000002,0.05674969999999999,0.029017599999999998,0.0115118,0.009857000000000001,0.0062591999999999995,0.0037462000000000003,0.001926,0.0012171999999999999,0.0009714000000000001,0.000605,0.0003124,0.0001611,8.2e-05,6.539999999999999e-05,1.6800000000000002e-05,7.6e-06,7.6e-06,1.2e-06
UH-Simplex,0.5919742,0.2859127,0.20157980000000003,0.12606420000000002,0.11752409999999999,0.0970402,0.1056797,0.10613410000000001,0.1059606,0.10862100000000001,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
SinglePass,0.5654372000000001,0.5967133,0.5860298,0.5551858000000001,0.5448932999999999,0.5244172,0.5352498000000001,0.49871509999999997,0.48789489999999996,0.4867536,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
